id,author,pkg,version,elm_version,license,direct_dep_count,total_dep_count
2827,arowM,arowM/elm-html-extra-internal,1.0.0,0.19.0,MIT,5,7
2828,kmbn,kmbn/elm-hotkeys,1.1.1,0.19.0,MIT,3,5
2829,humio,humio/elm-dashboard,6.0.0,0.19.0,Apache-2.0,4,8
2830,rtfeldman,rtfeldman/elm-iso8601-date-strings,1.1.3,0.19.0,BSD-3-Clause,4,5
2831,goilluminate,goilluminate/elm-fancy-daterangepicker,5.0.0,0.19.0,BSD-3-Clause,7,11
2832,linuss,linuss/smooth-scroll,1.0.0,0.19.0,BSD-3-Clause,3,9
2833,arowM,arowM/html,1.0.1,0.19.0,MIT,4,6
2834,arowM,arowM/html,1.0.0,0.19.0,MIT,4,6
2835,arowM,arowM/elm-html-internal,1.0.0,0.19.0,MIT,3,5
2836,brandly,brandly/elm-dot-lang,1.1.0,0.19.0,BSD-3-Clause,3,8
2837,brandly,brandly/elm-dot-lang,1.0.0,0.19.0,BSD-3-Clause,3,8
2838,tad-lispy,tad-lispy/springs,1.0.5,0.19.0,GPL-3.0,1,2
2839,cmditch,cmditch/elm-ethereum,3.0.3,0.19.0,MIT,16,22
2840,QiTASC,QiTASC/hatchinq,9.0.0,0.19.0,Apache-2.0,10,14
2841,justinmimbs,justinmimbs/timezone-data,2.1.2,0.19.0,BSD-3-Clause,2,3
2842,toastal,toastal/mailto,1.0.1,0.19.0,MIT,3,6
2843,toastal,toastal/mailto,1.0.0,0.19.0,MIT,3,6
2844,Chadtech,Chadtech/elm-bool-extra,2.4.0,0.19.0,BSD-3-Clause,2,3
2845,hecrj,hecrj/html-parser,2.3.3,0.19.0,BSD-3-Clause,5,7
2846,QiTASC,QiTASC/hatchinq,8.1.0,0.19.0,Apache-2.0,10,14
2847,gicentre,gicentre/elm-vegalite,1.6.0,0.19.0,BSD-3-Clause,3,5
2848,billstclair,billstclair/elm-sortable-table,1.1.3,0.19.0,BSD-3-Clause,3,5
2849,billstclair,billstclair/elm-sortable-table,1.1.2,0.19.0,BSD-3-Clause,3,5
2850,zwilias,zwilias/elm-bytes-parser,1.0.0,0.19.0,BSD-3-Clause,2,3
2851,pablohirafuji,pablohirafuji/elm-qrcode,3.1.1,0.19.0,BSD-3-Clause,5,8
2852,cmditch,cmditch/elm-ethereum,3.0.2,0.19.0,MIT,16,22
2853,pablohirafuji,pablohirafuji/elm-qrcode,3.1.0,0.19.0,BSD-3-Clause,4,7
2854,hecrj,hecrj/html-parser,2.3.2,0.19.0,BSD-3-Clause,5,7
2855,lazamar,lazamar/dict-parser,1.0.2,0.19.0,BSD-3-Clause,2,3
2856,abradley2,abradley2/form-elements,4.1.2,0.19.0,MIT,9,13
2857,getto-systems,getto-systems/elm-apply,2.0.0,0.19.0,MIT,1,2
